timestamp,anummer,bsn,docNr,datummelding diefstalvermissing,eindegeldigh,authafgifte,redenopname,Aanlinstantie,gebdatum,gebplaats,firstName,prefix,lastName
1,1823848935,235648953,XX02938442,20140108,20150120,B0599,GV,B0599,19751212,Zeist,Anna Cornelia Maria, ,Musinga
1000,1823848937,235648955,XX02938443,20140121,20180708,B0228,GV,B0228,20010513,Velika Plana,Anna Cornelia Maria, ,Ndoy-Foumoukoy-Kasongo
2000,1823848938,235648956,XX02938444,20140121,20110915,B0307,GV,B0363,19780907,Sint Maarten,Ahmed, ,Habte
3000,1823848939,235648957,XX02938445,20101209,20141111,B1774,GV,B1774,19891018,Rotterdam,Thomassio Alden Jimally, ,Jamanika
5000,1823848941,235648959,XX02938446,20091209,20111212,B0453,GV,B0453,19370528,Oostburg,Sabrina, ,Jansen
7000,1823848942,235648960,XX02938447,20140115,20150920,B0402,GV,B0402,19661111,Mogadishu,Sabrina, ,Ahmed
9000,1823848943,235648961,XX02938448,20090212,20110102,B0826,VH,B0377,19791215,Haarlemmerliede en Spaarnwoude,Sabrina, ,Vissers
11000,1823848945,235648963,XX02938449,20100805,20141218,B0363,GV,B0034,19910605,Haarlemmerliede en Spaarnwoude,Mildred Magdalena, ,Boersma
13000,1823848946,235648964,XX02938450,20091218,20120802,B0384,GV,B0034,19910605,Haarlem,Patrick Robbert, ,Verbond
14000,1823848948,235648966,XX02938451,20101220,20090618,B0384,RV,B0034,19910605,Eindhoven,Gerard, ,Hartjes
19000,1823848949,235648967,XX02938452,20100805,20141218,B0363,GV,B0034,19910605,Ede,Maarten Martinus , ,Mohammed
23000,1823848950,235648968,XX02938453,20091218,20120802,B0384,GV,B0034,19910605,Echt,Sabrina,van,Gastel
27000,1823848951,235648969,XX02938454,20070528,20120529,B0384,VA,B0034,19910605,Dordrecht,Rogier Louis Maria, ,Heijmen
28000,1823848952,235648970,XX02938455,20070529,20090618,B0384,GV,B0034,19910605,Denekamp,Robert Paul, ,Lalay
32000,1823848953,235648971,XX02938456,20081229,20120501,B0405,GV,B0405,19760427,Aruba,Robert,van der,Beuker
33000,1823848954,235648972,XX02938457,20080829,20110316,B1883,GV,B1883,19580506,Amsterdam,Ren Cornelis, ,Randamie
37000,1823848955,235648973,XX02938458,20140124,20150708,C7011,GV,B0546,19930902,Amsterdam,Nisrine, ,Rosa
42000,1823848956,235648974,XX02938459,20140124,20180612,B0599,GV,B0599,19650403,Rotterdam,Marsijah Catharina Margaretha, ,Roest
44000,1823848936,235648954,XX02938460,20140124,20140106,B0518,HG,B0392,19851114,Amsterdam,Isa Shirleen, ,visser
56000,1823848944,235648962,XX02938461,20140124,20080627,B0518,HG,B0599,19700818,Amsterdam,Hubert Jacques Marie,van,Pengel
59000,1823848934,235648952,XX02938462,20140124,20140312,B0629,HO,B0629,19571021,Breukelen,Goran,van,Pengel
63000,1823848940,235648958,XX02938463,20140124,20111212,B0453,HO,B0453,19370528,Amsterdam,Erik Jan, ,Youssoufi
67000,1823848947,235648965,XX02938464,20070802,20120529,B0384,OG,B0034,19910605,Amsterdam,Bart Steven, ,Klerck
