bag_id,bsn,Openbare_ruimte_id,Nummeraanduiding_id,Adresseerbaar_object_id,Pand_id,Kadastraal_object_id,Zakelijk_recht_id,Kadastraal_subject_id,Transactie_id,Adresseerbaar_object_type,Straatcode,Naam_officieel,Naam_nen,Naam_ptt,Huisnummer,Huisletter,Toevoeging,Postcode,Gebruiksdoel,Aantal_kamers,Woonoppervlak,Indicatie_nevenadres,Documentmutatiedatum,Documentmutatienummer,Bouwlaagtoegang,Aantal_bouwlagen,Type_woonobject_oms,Eigendomsverhouding,Financieringswijze,Feitelijk_gebruik,Ligging_gebouw,Status_nummeraanduiding,Nummeraanduiding_vervallen,Nummeraanduiding_ingangsdatum,Nummeraanduiding_einddatum,Status_adresseerbaar_object,Aot_x_coordinaat,Aot_y_coordinaat,Oorspronkelijk_bouwjaar,Kadgemkode,Sektielt,Konr,Kolt,Koindex,Perceeloppervlak,Ddtransakt,Zakelijkrecht,Aandeel,Ffkoopsom,Subjekt_oms
363010000548670,111111111,3630000002562,3630000011582,3630000548670,3630013088976,122272,1629072,20846,758838,vbo,388,Eerste Van der Helststraat,1e Van der Helststraat,1E VD HELSTSTR,1,,2,1073 AB,Best-woning,4,55,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-1005,,Verblijfsobject in gebruik,121314,485487,1875,ASD14,R,4920,G,0,83,22-01-97,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam R
363010000548671,222222222,3630000002562,3630000011583,3630000548671,3630013088976,122272,1629072,20846,758838,vbo,388,Eerste Van der Helststraat,1e Van der Helststraat,1E VD HELSTSTR,1,,3,1073 AB,Best-woning,4,56,nee,09-09-10,GV00000406,3,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-1005,,Verblijfsobject in gebruik,121314,485487,1875,ASD14,R,4920,G,0,83,22-01-97,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam R
363010000560810,333333333,3630000002646,3630000023658,3630000560810,3630013096914,437583,143953,24759,1068290,vbo,1457,Admiralengracht,Admiralengracht,ADMIRALENGR,1,,1,1057 EX,Best-woning,3,47,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,tussengebouw,naamgeving uitgegeven,N,01-01-24,,Verblijfsobject in gebruik,118987,486532,1924,STN02,C,5853,G,0,120,16-12-92,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000560818,444444444,3630000002646,3630000023666,3630000560818,3630012965167,437582,143949,24759,1068288,vbo,1457,Admiralengracht,Admiralengracht,ADMIRALENGR,1,,1,1057 EZ,Best-woning,3,47,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,tussengebouw,naamgeving uitgegeven,N,01-01-24,,Verblijfsobject in gebruik,118986,486537,1924,STN02,C,5852,G,0,120,16-12-92,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000565990,555555555,3630000002698,3630000028776,3630000565990,3630013095011,418573,1953491,20863,241455,vbo,2135,Amerbos,Amerbos,AMERBOS,1,,,1025 XX,Best-woning,5,136,nee,02-04-13,GV00001616_AC00AC,0,3,Eengezinswoning,eigendom,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-70,,Verblijfsobject in gebruik,124852,490626,1970,ASD31,AL,533,G,0,81,2026-07-05,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Al
363010000566481,666666666,3630000002699,3630000029267,3630000566481,3630013098880,488207,2677714,24752,1573734,vbo,2151,Amoebastraat,Amoebastraat,AMOEBASTR,1,,,1035 VL,Best-woning,4,93,nee,02-04-13,GV00001616_AC00AC,0,3,Eengezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-58,,Verblijfsobject in gebruik,122264,492479,1958,ASD35,AP,3506,G,0,154,2015-11-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,Gemeente Amsterdam Ap
363010000577528,777777777,3630000002477,3630000040245,3630000577528,3630013052147,420677,2473300,20864,1433756,vbo,3484,Barkpad,Barkpad,BARKPAD,1,,,1034 DG,Best-woning,4,90,nee,09-09-10,GV00000406,0,3,Eengezinswoning,eigendom,Subsidie Premiekoop A,woning,tussengebouw,naamgeving uitgegeven,N,01-12-87,,Verblijfsobject in gebruik,122563,490680,1987,ASD32,AM,332,G,0,137,2024-02-12,Eigendom bel. met recht van erfpacht,1-jan.,100000,Gemeente Amsterdam Am
363010000603675,888888888,3630000003092,3630000066024,3630000603675,3630013116582,275426,544270,20860,567732,vbo,6815,Centaurusstraat,Centaurusstraat,CENTAURUSSTR,1,,,1033 AX,Best-woning,5,77,nee,02-04-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-23,,Verblijfsobject in gebruik,120812,491980,1923,ASD28,AH,3427,G,0,136,2018-01-08,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah
363010000603675,999999999,3630000003092,3630000066024,3630000603675,3630013116582,276350,544272,20860,567733,vbo,6815,Centaurusstraat,Centaurusstraat,CENTAURUSSTR,1,,,1033 AX,Best-woning,5,77,nee,02-04-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-23,,Verblijfsobject in gebruik,120812,491980,1923,ASD28,AH,3445,G,0,6,2018-01-08,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah
363010000602209,111111111,3630000003085,3630000064519,3630000602209,3630012986414,301025,520581,20860,462814,vbo,6734,Castorplein,Castorplein,CASTORPLN,1,,,1033 GG,Best-woning,4,55,nee,02-04-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-22,,Verblijfsobject in gebruik,121234,491664,1922,ASD28,AH,1841,G,0,6,2027-07-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah
363010000602209,222222222,3630000003085,3630000064519,3630000602209,3630012986414,301044,520584,20860,462815,vbo,6734,Castorplein,Castorplein,CASTORPLN,1,,,1033 GG,Best-woning,4,55,nee,02-04-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-22,,Verblijfsobject in gebruik,121234,491664,1922,ASD28,AH,1860,G,0,91,2027-07-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah
363010000599846,333333333,3630000003057,3630000062177,3630000599846,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,5,1064 BK,Best-woning,4,65,nee,02-04-13,GV00001616_AC00AC,5,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117313,487389,1959,STN02,D,5645,G,0,517,2024-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000599855,444444444,3630000003057,3630000062186,3630000599855,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,2,1064 BK,Best-woning,3,58,nee,02-04-13,GV00001616_AC00AC,2,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117309,487389,1959,STN02,D,5645,G,0,517,2024-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000599859,555555555,3630000003057,3630000062190,3630000599859,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,6,1064 BK,Best-woning,3,58,nee,02-04-13,GV00001616_AC00AC,6,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117309,487389,1959,STN02,D,5645,G,0,517,2024-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000605113,666666666,3630000003108,3630000067489,3630000605113,3630013095244,132928,1794955,20850,861414,vbo,7196,Churchill-laan,Churchilllaan,CHURCHILLLN,1,,1,1078 EG,Best-woning,3,63,nee,02-04-13,GV00001616_AC00AC,1,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-25,,Verblijfsobject in gebruik,121912,484443,1925,ASD18,V,5374,G,0,980,01-04-98,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam V
363010000616046,777777777,3630000003203,3630000078237,3630000616046,3630013120674,52109,501312,24759,542339,vbo,8435,Davisstraat,Davisstraat,DAVISSTR,1,,1,1057 TK,Best-woning,3,54,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-29,,Verblijfsobject in gebruik,118845,486587,1929,STN02,C,7855,G,0,91,12-03-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000617676,888888888,3630000003216,3630000079967,3630000617676,3630013116000,139045,896611,49,146751,vbo,8672,De Kempenaerstraat,De Kempenaerstraat,DE KEMPENAERSTR,1,B,,1051 CK,Best-woning,2,52,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-16,,Verblijfsobject in gebruik,119754,488308,1916,ASD21,Y,2109,G,0,193,2024-12-04,Recht van erfpacht,1-jan.,100000,Algemene Woningbouw Vereniging
363010000617676,999999999,3630000003216,3630000079967,3630000617676,3630013116000,139045,896610,20853,146751,vbo,8672,De Kempenaerstraat,De Kempenaerstraat,DE KEMPENAERSTR,1,B,,1051 CK,Best-woning,2,52,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-16,,Verblijfsobject in gebruik,119754,488308,1916,ASD21,Y,2109,G,0,193,2024-12-04,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Y
363010000617206,111111111,3630000003210,3630000079499,3630000617206,3630012984605,270407,2577609,20862,1498826,vbo,8516,De Cuserstraat,De Cuserstraat,DE CUSERSTR,1,,,1081 CL,Best-woning,5,138,nee,02-04-13,GV00001616_AC00AC,0,2,Eengezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-63,,Verblijfsobject in gebruik,119155,481848,1963,ASD30,AK,1686,G,0,187,2029-01-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ak
363010000631834,222222222,3630000002825,3630000094142,3630000631834,3630013050146,8549,1224455,49,786953,vbo,10944,Elisabeth Wolffstraat,Elisabeth Wolffstraat,E WOLFFSTR,1,,2,1052 RP,Best-woning,3,51,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-08,,Verblijfsobject in gebruik,119575,487105,1908,ASD13,Q,5850,G,0,173,13-06-94,Recht van erfpacht,1-jan.,100000,Algemene Woningbouw Vereniging
363010000631834,333333333,3630000002825,3630000094142,3630000631834,3630013050146,8549,1224456,20845,786953,vbo,10944,Elisabeth Wolffstraat,Elisabeth Wolffstraat,E WOLFFSTR,1,,2,1052 RP,Best-woning,3,51,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-08,,Verblijfsobject in gebruik,119575,487105,1908,ASD13,Q,5850,G,0,173,13-06-94,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Q
363010000675517,444444444,3630000003617,3630000137485,3630000675517,3630013072270,118615,2650263,20850,1549144,vbo,16373,Hunzestraat,Hunzestraat,HUNZESTR,1,,2,1079 VS,Best-woning,4,70,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-31,,Verblijfsobject in gebruik,122149,484150,1931,ASD18,V,8723,G,0,169,08-01-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam V
363010000662531,555555555,3630000003376,3630000124630,3630000662531,3630013027505,114059,2049356,24759,333264,vbo,14850,Hendrik Bulthuisstraat,Hendrik Bulthuisstraat,H BULTHUISSTR,1,,,1067 SE,Best-woning,4,66,nee,09-09-10,GV00000406,0,2,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-58,,Verblijfsobject in gebruik,114671,487520,1958,STN02,I,4629,G,0,99,2021-10-05,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten
363010000676736,666666666,3630000003627,3630000138537,3630000676736,3630012966749,416714,2270479,20863,1308944,vbo,16500,Ilpendammerstraat,Ilpendammerstraat,ILPENDAMMERSTR,1,,,1023 AV,Best-woning,3,50,nee,02-04-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-26,,Verblijfsobject in gebruik,124884,489426,1926,ASD31,AL,3544,G,0,84,03-02-10,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Al
